S.No,STATE,DISTRICT,Rainfall (mm),Total Geographical Area (ha),Ground Water Recharge (ham),Inflows and Outflows (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),Quality Tagging,Additional Potential Resources Under Specific Conditions(ham),Coastal Areas,In-Storage Unconfined Ground Water Resources(ham),Total Ground Water Availability in Unconfined Aquifier (ham),Dynamic Confined Ground Water Resources(ham),In-Storage Confined Ground Water Resources(ham),Total Confined Ground Water Resources (ham),Dynamic Semi Confined Ground Water Resources (ham),In-Storage Semi Confined Ground Water Resources (ham),Total Semi-Confined Ground Water Resources (ham),Total Ground Water Availability in the area (ham)
138,CHHATTISGARH,RAIPUR,1378.25692903583,108435,6500.36,0,31623.58,3162.35,28461.23,1025.89017,46.8431968681607,1126.62,15028.35,0,0,0,54171.45,100191.16,0,0,0,0,0,0,100191.16
139,CHHATTISGARH,RAJNANDGAON,1208.7,36795,2760.16,0,11754.52,1175.45,10579.07,295.86243,65.9548523641492,348.11,3549.41,0,0,0,47898.5,83101.33,0,0,0,0,0,0,83101.33
140,CHHATTISGARH,SAKTI,1386,69846,3807.93,0,23889.02,2388.91,21500.11,792.34419,31.5283503200681,855.25,14658.58,0,0,0,28836.9,58683.83,0,0,0,0,0,0,58683.83
141,CHHATTISGARH,SARANGARH-BILAIRAGH,1384.8541965053,41892,2995.75,0,9521.47,952.15,8569.32,310.6515,11.5783982859784,344.34,7543.44,0,0,0,42469.9,65265.7,0,0,0,0,0,0,65265.7
142,CHHATTISGARH,SUKMA,1403.39898132428,589,50,0,255.28,25.53,229.75,1.05777,0.457018498367791,1.09,228.66,0,0,0,103749.34,145292.79,0,0,0,0,0,0,145292.79
143,CHHATTISGARH,SURAJPUR,1228.7105423655,13773,1323.52,0,3415.66,341.58,3074.08,110.75049,58.571995523864,115.91,1268.37,0,0,0,48422.62,85442.25,0,0,0,0,0,0,85442.25
144,CHHATTISGARH,SURGUJA,1389.22970672871,32666,2829.54,0,5354.07,535.41,4818.66,200.2317,37.6361893140417,209.72,3010.23,0,0,0,78078.22,116965.41,0,0,0,0,0,0,116965.41
145,DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI,2265.7,4235,638.09,0,2839.57,283.95,2555.62,257.85,229.447648711467,763.68,0,0,0,0,0,8233.1,0,0,0,0,0,0,8233.1
146,DAMAN AND DIU,DAMAN,2275,6840,2824.29,0,2937.41,146.88,2790.53,0,158.768406001727,1412.67,0,0,0,0,0,2790.53,0,0,0,0,0,0,2790.53
147,DAMAN AND DIU,DIU,923,3676,545.42,0,582.64,29.13,553.51,0,231.629058192264,175.69,0,0,0,0,0,553.51,0,0,0,0,0,0,553.51
148,DELHI,CENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216.81,0,0,0,0,0,0,2216.81
149,DELHI,EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493.8,0,0,0,0,0,0,1493.8
150,DELHI,NAZUL LAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.82,0,0,0,0,0,0,498.82
151,DELHI,NEW DELHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2720.18,0,0,0,0,0,0,2720.18
152,DELHI,NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4006.51,0,0,0,0,0,0,4006.51
153,DELHI,NORTH EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598.07,0,0,0,0,0,0,1598.07
154,DELHI,NORTH WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3432.98,0,0,0,0,0,0,3432.98
155,DELHI,SHAHDARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452.89,0,0,0,0,0,0,1452.89
156,DELHI,SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061.26,0,0,0,0,0,0,4061.26
157,DELHI,SOUTH EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2422.02,0,0,0,0,0,0,2422.02
158,DELHI,SOUTH WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6699.33,0,0,0,0,0,0,6699.33
159,DELHI,WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3587.77,0,0,0,0,0,0,3587.77
160,GOA,GOA NORTH,3407.86440573541,17854,2674.45,0,3977.05,795.41,3181.64,284.79636,15.7396814221596,294.8,2670.85,0,0,0,0,13261.4,0,0,0,0,0,0,13261.4
161,GOA,SOUTH GOA,3412.97899825062,10861,2074.37,0,2938.45,587.69,2350.76,200.72870225,13.0013272303425,207.78,2038.07,0,0,0,0,17535.31,0,0,0,0,0,0,17535.31
162,GUJARAT,AHMEDABAD,740.695266187923,184138.417797616,24716.2,0,45801.23,3548.96,42252.27,1038.94824006295,73.6269080927486,1101.83,13353.84,0,0,0,0,42252.27,0,0,0,0,0,0,42252.27
163,GUJARAT,AMRELI,731.223023967256,723203.784780481,132123.42,0,150145.76,7507.31,142638.45,1207.63907274431,55.353118321182,1230.14,63661.11,0,0,0,0,142638.45,0,0,0,0,0,0,142638.45
164,GUJARAT,ANAND,871.61872192178,212911.558862922,32160.87,0,118388.98,9516.1,108872.88,3587.38918416104,27.5806334874213,3689.85,78742.59,0,0,0,0,108872.88,0,0,0,0,0,0,108872.88
165,GUJARAT,ARVALLI,900.773520468769,310371.5583905,81761.61,0,92614.24,4630.72,87983.52,2060.97753156297,42.6681724031955,2144.33,50359.22,0,0,0,0,87983.52,0,0,0,0,0,0,87983.52
166,GUJARAT,BANASKANTHA,761.479195538519,669984.117337131,99386.1,0,131289.23,13128.95,118160.28,4264.02337193193,119.809973368377,4557.44,11934.72,0,0,0,0,118160.28,0,0,0,0,0,0,118160.28
167,GUJARAT,BHARUCH,827.294503736601,332922.554634098,41682.99,0,69396.9,5548.4,63848.5,1836.72780249602,26.635864585699,1891.72,46786.91,0,0,0,0,63848.5,0,0,0,0,0,0,63848.5
168,GUJARAT,BHAVNAGAR,672.270835249353,585752.23261688,92561.12,0,113827.04,5691.37,108135.67,3194.0591839951,42.7064445987157,3322.21,61826.62,0,0,0,0,108135.67,0,0,0,0,0,0,108135.67
169,GUJARAT,BOTAD,712.187352763281,203056.105495968,37198.25,0,43735.23,2186.78,41548.45,907.4415803272,57.1435276165537,943.85,17769.8,0,0,0,0,41548.45,0,0,0,0,0,0,41548.45
170,GUJARAT,CHHOTA UDEPUR,1118.57616123632,326493.2852432,42927.38,0,62996.58,6299.68,56696.9,2237.97328946036,43.2823840456886,2312.02,32083.08,0,0,0,0,56696.9,0,0,0,0,0,0,56696.9
171,GUJARAT,DAHOD,724.154531755429,351971.3417906,19357.58,0,37231.92,3385.97,33845.95,2310.58408341218,37.9743514364348,2524.79,20778.97,0,0,0,0,33845.95,0,0,0,0,0,0,33845.95
172,GUJARAT,DANG,2388.38583509939,144921.7961807,35324.46,0,37748.46,3774.84,33973.62,494.571724895186,13.391419577896,522.81,29395.83,0,0,0,0,33973.62,0,0,0,0,0,0,33973.62
173,GUJARAT,DEVBHUMI DWARKA,937.114384719505,360785.623232879,36703.39,0,43997.74,2199.89,41797.85,1582.06713232496,68.2713584550402,1630.77,13213.18,0,0,0,0,41797.85,0,0,0,0,0,0,41797.85
174,GUJARAT,GANDHINAGAR,794.828697166284,215520.6380938,45828.31,0,64955.89,5496.05,59459.84,1365,102.674780154134,1807.11,6419.36,0,0,0,0,59459.84,0,0,0,0,0,0,59459.84
175,GUJARAT,GIR SOMNATH,1109.26315397573,315649.815546903,67566.29,0,76951.07,6124.09,70826.98,3001.04945670922,47.6215419604224,3081.92,37017.2,0,0,0,0,70826.98,0,0,0,0,0,0,70826.98
176,GUJARAT,JAMNAGAR,806.897198247494,579332.208678314,123294.57,0,143398.27,7169.92,136228.35,2425.86706973003,40.106292119078,2500.55,81517.53,0,0,0,0,136228.35,0,0,0,0,0,0,136228.35
177,GUJARAT,JUNAGADH,1191.65176741303,509083.685391741,145869.35,0,160529.83,8026.51,152503.32,3164.33548201805,45.6044891350562,3412.46,82706.83,0,0,0,0,152503.32,0,0,0,0,0,0,152503.32
178,GUJARAT,KACHCHH,561.076436764977,840179.393221685,63910.27,0,99997.97,8947.99,91049.98,1082.62607231058,54.4299735156449,1193.74,42668.65,0,0,0,0,91049.98,0,0,0,0,0,0,91049.98
179,GUJARAT,KHEDA,872.26799071358,286444.624167768,46026.64,0,87121.89,7750.51,79371.38,2888.15985169827,38.6143972802287,2972.25,48638.5,0,0,0,0,79371.38,0,0,0,0,0,0,79371.38
180,GUJARAT,MAHESANA,760.57159030549,288807.091757894,51321.75,0,82108.16,8210.83,73897.33,1450.2219650361,109.669645709798,1484.44,4875.91,0,0,0,0,73897.33,0,0,0,0,0,0,73897.33
181,GUJARAT,MAHISAGAR,751.587841395366,245901.0554171,17689.09,0,34004.55,3400.45,30604.1,905.570891462,49.0941736564709,941.6,15543.24,0,0,0,0,30604.1,0,0,0,0,0,0,30604.1
182,GUJARAT,MORBI,653.023686019774,348052.073493335,40445.58,0,70849.1,4615.11,66233.99,1465.44594706561,50.9382720261908,1538.01,32422.98,0,0,0,0,66233.99,0,0,0,0,0,0,66233.99
183,GUJARAT,NARMADA,1122.70449410233,250995.3840286,28186.56,0,41679.88,2986.74,38693.14,545.901064172069,63.1430791091134,564.93,14242.07,0,0,0,0,38693.14,0,0,0,0,0,0,38693.14
184,GUJARAT,NAVSARI,1894.64112726093,216782.1528127,59194.36,0,80351.74,5391.9,74959.84,2691.86079873673,29.5295587610646,2739.64,52776.76,0,0,0,0,74959.84,0,0,0,0,0,0,74959.84
185,GUJARAT,PANCHMAHAL,912.097293189572,325474.4081905,20567.94,0,57739.99,3862.07,53877.92,1541.35775703472,23.9114279096149,1610.27,40926.03,0,0,0,0,53877.92,0,0,0,0,0,0,53877.92
186,GUJARAT,PATAN,812.789334365916,117107.993677221,23741.89,0,39256.73,3221.65,36035.08,927.541583574281,112.10370561131,956.37,465.26,0,0,0,0,36035.08,0,0,0,0,0,0,36035.08
187,GUJARAT,PORBANDAR,854.105483037723,133858.114497384,19392.04,0,22738.08,1531.86,21206.22,522.875185914221,56.7639588762165,533.33,9158.28,0,0,0,0,21206.22,0,0,0,0,0,0,21206.22
188,GUJARAT,RAJKOT,813.229033260049,764586.50874597,135167.26,0,172425.6,8621.26,163804.34,2555.87299673295,65.6604641855033,2687.82,56117.71,0,0,0,0,163804.34,0,0,0,0,0,0,163804.34
189,GUJARAT,RANA AND KUTCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,GUJARAT,SABARKANTHA,919.290924479905,407378.4033349,57339.46,0,84619.96,8462,76157.96,2055.74800988359,72.0456010113716,2345.15,22813.47,0,0,0,0,76157.96,0,0,0,0,0,0,76157.96
191,GUJARAT,SURAT,1579.39559172597,381733.065356544,97851.33,0,146798.86,12329.93,134468.93,19059.922030623,42.4054091900635,22068.21,80223.3,0,0,0,0,134468.93,0,0,0,0,0,0,134468.93
192,GUJARAT,SURENDRANAGAR,612.250318777388,444181.252579938,61888.49,0,80800.14,4741.79,76058.35,1275.72242970765,49.0875755258956,1324.48,38674.38,0,0,0,0,76058.35,0,0,0,0,0,0,76058.35
193,GUJARAT,TAPI,1484.27408748517,308550.3583728,56384.47,0,78513.6,7698.36,70815.24,504.739300859209,32.6597212690376,864.08,47327.84,0,0,0,0,70815.24,0,0,0,0,0,0,70815.24
194,GUJARAT,VADODARA,897.577142085764,406398.8860796,64529.38,0,109303.96,6671.29,102632.67,6601.44013924317,66.8851935743268,6819.85,35103.28,0,0,0,0,102632.67,0,0,0,0,0,0,102632.67
195,GUJARAT,VALSAD,2487.49848563422,238387.728139,56360.68,0,76901.69,7690.16,69211.53,4370.27595041816,29.5769360972081,4608.56,48502.59,0,0,0,0,69211.53,0,0,0,0,0,0,69211.53
196,HARYANA,AMBALA,1065.56151208585,150904.892165426,28502.88,0,43762.73,4376.27,39386.46,6915.1,127.372350802789,6915.1,1314.52,0,1564.6125,0,0,39386.46,0,0,0,0,0,0,39386.46
197,HARYANA,BHIWANI,426.23,267495.394498802,18254.04,0,44213.37,4421.33,39792.04,767.6,104.660856794474,797.68,9102.87,0,2540.735,0,0,39792.04,0,0,0,0,0,0,39792.04
198,HARYANA,CHARKHI DADRI,662.629689682835,134335.688686975,15326.1,0,24809.71,2480.98,22328.73,1253.5,108.896833810073,1265.99,7958.05,0,9790.5,0,0,22328.73,0,0,0,0,0,0,22328.73
199,HARYANA,FARIDABAD,683.201065836839,57725.4180947312,6807.56,0,14355.66,1261.1,13094.56,4434.3684,180.887712149167,4455.12,260.26,0,0,0,0,13094.56,0,0,0,0,0,0,13094.56
200,HARYANA,FATEHABAD,292.172622876712,251850.382093564,14633.48,0,64784.27,6478.43,58305.84,1651.04,176.99312796111,1713.29,514.74,0,4700.43,0,0,58305.84,0,0,0,0,0,0,58305.84
201,HARYANA,GURGAON,564.72437687889,121112.690429219,13012.3,0,22487.6,2154.21,20333.39,5164.973,212.767521795431,5164.97,0,0,0,0,0,20333.39,0,0,0,0,0,0,20333.39
202,HARYANA,HISAR,366.48490209149,406838.296921631,25601.85,0,61857.36,4963.75,56893.61,366.2,88.6341541695104,366.2,14471.95,0,0,0,0,56893.61,0,0,0,0,0,0,56893.61
203,HARYANA,JHAJJAR,534.691948689855,153659.787240157,16467.03,0,48059.92,3630.13,44429.79,408.15,51.0093565600918,408.15,21766.44,0,79143.27,0,0,44429.79,0,0,0,0,0,0,44429.79
204,HARYANA,JIND,543.685791782161,268027.450180026,26892.88,0,86136.65,7866.01,78270.64,1954.54,113.314047259611,2722.83,6595.39,0,28734.6651057,0,0,78270.64,0,0,0,0,0,0,78270.64
205,HARYANA,KAITHAL,493.404482065502,222872.153354472,19354.05,0,47002.39,4700.24,42302.15,2702.33,190.238723090907,3073.65,0,0,0,0,0,42302.15,54579.41,2902918.26,2957497.68,0,0,0,42302.15
206,HARYANA,KARNAL,654.889652831978,246865.699198673,32918.76,0,117608.2,11760.83,105847.37,8100.38,173.854853455499,8100.38,0,0,0,0,0,105847.37,95686.98,3660026.97,3755713.99,0,0,0,105847.37
207,HARYANA,KURUKSHETRA,624.24,168420.281380397,18880.13,0,40990.15,3901.59,37088.56,4125,228.42294227654,4125,0,0,0,0,0,37088.56,0,0,0,0,0,0,37088.56
208,HARYANA,MAHENDRAGARH,338.646855339121,188541.763657441,10568.45,0,22400.92,2240.11,20160.81,3221.08,145.496733514179,3221.08,249.8,0,0,0,0,20160.81,0,0,0,0,0,0,20160.81
209,HARYANA,MEWAT,537.937916413843,110702.22083457,9155.3,0,18383.27,1838.33,16544.94,2062.87,75.9819014151759,2062.87,4649.46,0,9531.85,0,0,16544.94,0,0,0,0,0,0,16544.94
210,HARYANA,PALWAL,499.746292136544,120020.17079428,10903.73,0,43255.63,4015,39240.63,2263.33,94.4790132064648,2263.33,7223.11,0,5885.05,0,0,39240.63,0,2200560,2200560,0,0,0,39240.63
211,HARYANA,PANCHKULA,1379,50671.513058538,12231.14,0,14569.73,1136.24,13433.49,1143.18,62.2800925150501,1143.18,5067.1,0,0,0,0,13433.49,0,0,0,0,0,0,13433.49
212,HARYANA,PANIPAT,484.291190056608,129637.18214,12902.72,0,51405.7,5140.56,46265.14,2443.48,222.105066579286,2443.48,0,0,0,0,0,46265.14,0,0,0,0,0,0,46265.14
213,HARYANA,REWARI,550,144017.807947309,13582.79,0,28966.25,2564.61,26401.64,1995.45,132.711945167043,1995.45,233.96,0,0,0,0,26401.64,0,0,0,0,0,0,26401.64
214,HARYANA,ROHTAK,490.782923551731,150389.10852714,14639.51,0,35573.7,3557.37,32016.33,523.22,51.1411520308542,523.22,15642.81,0,87115.26,0,0,32016.33,0,0,0,0,0,0,32016.33
215,HARYANA,SIRSA,343.99,352099.747758174,21080.21,0,61801.14,5226.56,56574.58,1476.33,152.612993326685,1476.33,1774.06,0,2361.4725,0,0,56574.58,0,0,0,0,0,0,56574.58
216,HARYANA,SONIPAT,702.778753773028,199641.326496624,26114.42,0,79146.4,6637.49,72508.91,8951.354,104.609461099332,8951.35,9806.63,0,28821.15,0,0,72508.91,0,0,0,0,0,0,72508.91
217,HARYANA,YAMUNA NAGAR,901,143277.263581739,25822.57,0,60033.38,5395.43,54637.95,5072.96,130.64313357291,5072.96,3547.79,0,64.575,0,0,54637.95,0,0,0,0,0,0,54637.95
218,HIMACHAL PRADESH,BALH VALLEY,0,0,0,0,229.13,22.91,206.22,0,0,0,206.22,0,0,0,0,2439.95,0,0,0,0,0,0,2439.95
219,HIMACHAL PRADESH,CHAUNTRA VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4703.14,0,0,0,0,0,0,4703.14
220,HIMACHAL PRADESH,DHARAMSHALA PALAMPUR VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12324.36,0,0,0,0,0,0,12324.36
221,HIMACHAL PRADESH,HUM VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669.18,0,0,0,0,0,0,669.18
222,HIMACHAL PRADESH,KALA AMB VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0,0,0,0,0,1638
223,HIMACHAL PRADESH,NALAGARH VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15234.42,0,0,0,0,0,0,15234.42
224,HIMACHAL PRADESH,NURPUR & INDAURA vALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37528.06,0,0,0,0,0,0,37528.06
225,HIMACHAL PRADESH,POANTA VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7769.72,0,0,0,0,0,0,7769.72
226,HIMACHAL PRADESH,UNA VALLEY BEAS CATCHMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.87,0,0,0,0,0,0,950.87
227,HIMACHAL PRADESH,UNA VALLEY SUTLEJ CATCHMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17779.62,0,0,0,0,0,0,17779.62
228,JAMMU AND KASHMIR,Anantnag,1235.1,27940.18,6073.56,0,6418.56,641.86,5776.7,652.24,14.2049959319335,652.24,4956.12,0,0,0,0,12550.67,0,0,0,0,0,0,12550.67
229,JAMMU AND KASHMIR,Bandipora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5839.38,0,0,0,0,0,0,5839.38
230,JAMMU AND KASHMIR,Baramulla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15441.85,0,0,0,0,0,0,15441.85
231,JAMMU AND KASHMIR,Barmulla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,JAMMU AND KASHMIR,Budgam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4765.08,0,0,0,0,0,0,4765.08
233,JAMMU AND KASHMIR,Doda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.02,0,0,0,0,0,0,935.02
234,JAMMU AND KASHMIR,Ganderbal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845.77,0,0,0,0,0,0,845.77
235,JAMMU AND KASHMIR,Jammu,1338.9,59123.4,12665.57,0,19313.47,1931.35,17382.12,4101.426,41.8686558371476,4101.43,10104.46,0,0,0,0,42061.98,0,0,0,0,0,0,42061.98
236,JAMMU AND KASHMIR,Kathua,1338.9,21110.07,4623.22,0,7595.25,600.17,6995.08,1750.941,50.5771199185713,1750.94,3457.17,0,0,0,0,22406.66,0,0,0,0,0,0,22406.66
237,JAMMU AND KASHMIR,Kishtwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185.69,0,0,0,0,0,0,1185.69
238,JAMMU AND KASHMIR,Kulgam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6130.63,0,0,0,0,0,0,6130.63
239,JAMMU AND KASHMIR,Kupwara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,JAMMU AND KASHMIR,Kupwarar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5623.96,0,0,0,0,0,0,5623.96
241,JAMMU AND KASHMIR,Mirpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,JAMMU AND KASHMIR,Muzaffarabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,JAMMU AND KASHMIR,Poonch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4639.69,0,0,0,0,0,0,4639.69
244,JAMMU AND KASHMIR,Pulwama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6055.28,0,0,0,0,0,0,6055.28
245,JAMMU AND KASHMIR,Rajouri,2198.8,4457.28,1706.84,0,2503.37,250.34,2253.03,343,20.505718965127,343,1791.03,0,0,0,0,26025.27,0,0,0,0,0,0,26025.27
246,JAMMU AND KASHMIR,Ramban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636.77,0,0,0,0,0,0,636.77
247,JAMMU AND KASHMIR,Reasi,2198.8,1294.15,469.14,0,622.76,62.28,560.48,183.951,32.8200827861833,183.95,376.53,0,0,0,0,21866.26,0,0,0,0,0,0,21866.26
248,JAMMU AND KASHMIR,Samba,1338.9,10202.44,2151.88,0,4055.11,350.4,3704.71,613.17,25.1698513513878,613.16,2772.25,0,0,0,0,19784.75,0,0,0,0,0,0,19784.75
249,JAMMU AND KASHMIR,Shopian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6646.22,0,0,0,0,0,0,6646.22
250,JAMMU AND KASHMIR,Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124215,135201.71,0,0,0,0,0,0,135201.71
251,JAMMU AND KASHMIR,Srinagar Hilly Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,JAMMU AND KASHMIR,Udhampur,2198.8,4827.62,2153.32,0,2950.97,295.1,2655.87,306.585,11.5434866917432,306.58,2349.3,0,0,0,0,15902.05,0,0,0,0,0,0,15902.05
253,JHARKHAND,BOKARO,0,577,0,0,0,0,0,0,0,0,0,0,0,0,121362.35,140732.51,0,0,0,0,0,0,140732.51
254,JHARKHAND,CHATRA,0,779,0,0,0.2,0.02,0.18,0,0,0,0.18,0,0,0,147565.33,172038.22,0,0,0,0,0,0,172038.22
255,JHARKHAND,DEOGHAR,0,84,0,0,0,0,0,0,0,0,0,0,0,0,87476.33,103562.72,0,0,0,0,0,0,103562.72
256,JHARKHAND,DHANBAD,0,748,0,0,0.9,0.09,0.81,0,0,0,0.81,0,0,0,89207.47,115063.59,0,0,0,0,0,0,115063.59
257,JHARKHAND,DUMKA,0,10078,0,0,97.01,9.7,87.31,0,0,0,87.31,0,0,0,131604.95,157789.54,0,0,0,0,0,0,157789.54
258,JHARKHAND,EAST SINGHBHUM,0,494,0,0,0,0,0,0,0,0,0,0,0,0,137534.95,163407.36,0,0,0,0,0,0,163407.36
259,JHARKHAND,GARHWA,0,6590,0,0,5.21,0.52,4.69,0,0,0,4.69,0,0,0,130687.94,158059.63,0,0,0,0,0,0,158059.63
260,JHARKHAND,GIRIDIH,0,180,0,0,12.81,1.3,11.51,0,0,0,11.51,0,0,0,185252.97,225283.96,0,0,0,0,0,0,225283.96
261,JHARKHAND,GODDA,0,4948,0,0,73.71,7.37,66.34,0,0,0,66.34,0,0,0,74983.96,96176.92,0,0,0,0,0,0,96176.92
262,JHARKHAND,GUMLA,0,3786,0,0,12.88,1.28,11.6,0,0,0,11.6,0,0,0,210579.71,242942.33,0,0,0,0,0,0,242942.33
263,JHARKHAND,HAZARIBAGH,0,2341,0,0,0,0,0,0,0,0,0,0,0,0,154461.45,186490.4,0,0,0,0,0,0,186490.4
264,JHARKHAND,JAMTARA,0,0,0,0,15.6,1.56,14.04,0,0,0,14.04,0,0,0,44796.14,53242.64,0,0,0,0,0,0,53242.64
265,JHARKHAND,KHUNTI,0,2712,0,0,0,0,0,0,0,0,0,0,0,0,84627.94,97226.22,0,0,0,0,0,0,97226.22
266,JHARKHAND,KODERMA,0,0,0,0,1.12,0.11,1.01,0,0,0,1.01,0,0,0,43604.9,49813.64,0,0,0,0,0,0,49813.64
267,JHARKHAND,LATEHAR,0,820,0,0,0,0,0,0,0,0,0,0,0,0,100632.85,123213.48,0,0,0,0,0,0,123213.48
268,JHARKHAND,LOHARDAGA,0,1437,0,0,0,0,0,0,0,0,0,0,0,0,83213.96,101075.18,0,0,0,0,0,0,101075.18
269,JHARKHAND,PAKUR,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,60526.19,84668.35,0,0,0,0,0,0,84668.35
270,JHARKHAND,PALAMAU,0,6722,0,0,18.6,1.86,16.74,0,0,0,16.74,0,0,0,151183.96,182589.67,0,0,0,0,0,0,182589.67
271,JHARKHAND,RAMGARH,0,122,0,0,0,0,0,0,0,0,0,0,0,0,51414.32,61984.06,0,0,0,0,0,0,61984.06
272,JHARKHAND,RANCHI,0,3817,0,0,40.53,4.05,36.48,0,0,0,36.48,0,0,0,174658.71,211591.96,0,0,0,0,0,0,211591.96
273,JHARKHAND,SAHEBGANJ,0,709,0,0,2.65,0.26,2.39,0,0,0,2.39,0,0,0,158872.85,187025.61,0,0,0,0,0,0,187025.61
274,JHARKHAND,SARAIKELA KHARSAWAN,0,3164,0,0,1.34,0.14,1.2,0,0,0,1.2,0,0,0,123587.61,140670.88,0,0,0,0,0,0,140670.88
275,JHARKHAND,SIMDEGA,0,1067,0,0,0,0,0,0,0,0,0,0,0,0,145934.37,169045.1,0,0,0,0,0,0,169045.1
276,JHARKHAND,WEST SINGHBHUM,0,3846,0,0,181.55,18.16,163.39,0,0,0,163.39,0,0,0,260670.77,306503.51,0,0,0,0,0,0,306503.51
277,KARNATAKA,Bagalkot,706.305644734784,268498,9677.77,0,42596.71,4259.66,38337.05,2214.459891,42.8849898466366,2289.87,22209.03,0,0,0,0,58812.48,0,0,0,0,0,0,58812.48
278,KARNATAKA,Ballari,582.998851911117,253726,8365.37,0,56847.26,5684.74,51162.52,1317.075417,19.1750719081077,1380.28,41288.86,0,0,0,0,61973.96,0,0,0,0,0,0,61973.96
279,KARNATAKA,Belagavi,564.41112578307,489899,15337.78,0,59540.36,5954.06,53586.3,4366.416306,57.6767942552481,4773.2,22999.74,0,0,0,0,108655.71,0,0,0,0,0,0,108655.71
280,KARNATAKA,Bengaluru (Rural),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15752.4,0,0,0,0,0,0,15752.4
281,KARNATAKA,Bengaluru (Urban),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28565.58,0,0,0,0,0,0,28565.58
282,KARNATAKA,Bengaluru South,853.95723892907,23643,1569.9,0,6092.28,609.24,5483.04,248.739543,105.535615279115,250.04,641.42,0,0,0,0,43176.27,0,0,0,0,0,0,43176.27
283,KARNATAKA,Bidar,868.945782917355,22397,1234.4,0,4189.65,399.81,3789.84,433.091115,67.863814831233,443.47,1252.3,0,0,0,0,33757.1,0,0,0,0,0,0,33757.1
284,KARNATAKA,Chamarajanagara,1215.62505966286,79195,5952.12,0,13947.72,1394.78,12552.94,960.0958248,80.0461087203476,1147.34,2623.54,0,0,0,0,34136.97,0,0,0,0,0,0,34136.97
285,KARNATAKA,Chikkaballapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30561.29,0,0,0,0,0,0,30561.29
286,KARNATAKA,Chikkamagaluru,923.3,14356,848.31,0,4115.58,411.56,3704.02,71.3903865,15.4588798116641,75.1,3127.71,0,0,0,0,60817.27,0,0,0,0,0,0,60817.27
